_from,to,category,score,normalized_score
actualizacion,whatsapp,tech,1,0.0
actualizada,aplicacion,tech,4,0.0306042483556246
actualizada,asegurar,tech,1,0.0
actualizada,componente,tech,2,0.010201416118541534
actualizada,comprar,tech,3,0.020402832237083064
actualizada,dispositivo,tech,2,0.010201416118541534
actualizada,diverso,tech,3,0.020402832237083064
actualizada,ipad,tech,2,0.010201416118541534
actualizada,presentar,tech,1,0.0
actualizado,pantalla,tech,3,0.020402832237083064
actualizado,pulgadas,tech,2,0.010201416118541534
actualizar,confirmar,tech,1,0.0
actualizar,indicar,tech,1,0.0
actualizar,insignia,tech,3,0.020402832237083064
actualizar,medida,tech,1,0.0
actualizar,persona,tech,2,0.010201416118541534
actualizar,real,tech,2,0.010201416118541534
actualizar,tiempo,tech,3,0.020402832237083064
actualizar,v,tech,2,0.010201416118541534
actualizar,version,tech,3,0.020402832237083064
actualmente,empresa,tech,2,0.010201416118541534
actualmente,evaluar,tech,3,0.020402832237083064
actualmente,exclusivo,tech,1,0.0
actualmente,existir,tech,3,0.020402832237083064
actualmente,fase,tech,3,0.020402832237083064
actualmente,implementacion,tech,2,0.010201416118541534
actualmente,india,tech,1,0.0
actualmente,ingl,tech,3,0.020402832237083064
actualmente,intencion,tech,1,0.0
actualmente,lugar,tech,1,0.0
actualmente,modelo,tech,3,0.020402832237083064
actualmente,plataforma,tech,2,0.010201416118541534
actualmente,project,tech,1,0.0
actualmente,similar,tech,2,0.010201416118541534
actualmente,usuario,tech,2,0.010201416118541534
actuar,agregar,politic,1,0.017859734329195735
actuar,ciudadano,politic,3,0.07398203522467027
actuar,civil,politic,2,0.045920884776933006
actuar,gaza,politic,1,0.017859734329195735
actuar,interactuar,tech,2,0.010201416118541534
actuar,modelo,tech,3,0.020402832237083064
actuar,oficio,politic,3,0.07398203522467027
actuar,participar,politic,2,0.045920884776933006
actuar,poblacion,politic,3,0.07398203522467027
actuar,solicitud,tech,1,0.0
acueducto,alcantarillado,politic,3,0.07398203522467027
acueducto,infraestructura,politic,2,0.045920884776933006
acueducto,vial,politic,1,0.017859734329195735
acuerdo,acceso,politic,1,0.017859734329195735
acuerdo,alto,politic,3,0.07398203522467027
acuerdo,android,tech,2,0.010201416118541534
acuerdo,animacion,tech,1,0.0
acuerdo,anterior,tech,3,0.020402832237083064
acuerdo,apple,tech,1,0.0
acuerdo,bloomberg,tech,3,0.020402832237083064
acuerdo,canalys,tech,2,0.010201416118541534
acuerdo,carta,politic,3,0.07398203522467027
